Class,Order,Family,Genus,Species,Common name,Female maturity (days),s,Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Maximum longevity (yrs),,Metabolic rate (W),Temperature (K),q1 - W,q2 - B,q3 - S,q1 - W,q2 - B,q3 - S,q4 - X
Aves,Passeriformes,Parulidae,Cardellina,rubrifrons,Red-faced warbler,365,365,13,,4,1,,,,9.8,3,,,,0.068007199,0.280183139,0.651809662,,,,
Aves,Passeriformes,Parulidae,Dendroica,adelaidae,Adelaide's warbler,,,,,,,,,,7,10.6,,,,0.038287952,0.583598047,0.378114,,,,
Aves,Passeriformes,Parulidae,Dendroica,caerulescens,Black-throated blue warbler,365,365,13,,4,2,,,,10.2,10,0.18601,9.4,,0.055414699,0.548185247,0.396400054,,,,
Aves,Passeriformes,Parulidae,Dendroica,castanea,Bay-breasted warbler,,,12,,5,1,,,,11.5,4.9,,,,0.069146403,0.380874831,0.549978766,,,,
Aves,Passeriformes,Parulidae,Dendroica,cerulea,Cerulean warbler,365,365,12,,4,1,,,,8.625,6,,,,0.054177467,0.443416761,0.502405772,,,,
Aves,Passeriformes,Parulidae,Dendroica,chrysoparia,Golden-cheeked warbler,365,365,,,,,,,,10.2,8,,,,0.058072222,0.498074178,0.4438536,,,,
Aves,Passeriformes,Parulidae,Dendroica,coronata,Yellow-rumped (myrtle) warbler,,,12,,4,1,,,,12,10,0.1895,11.5,,0.062508456,0.538546879,0.398944665,,,,
Aves,Passeriformes,Parulidae,Dendroica,discolor,Prairie warbler,,,12,,4,1.5,,1.1,,7,10.3,,,,0.038629875,0.577150655,0.384219471,,,,
Aves,Passeriformes,Parulidae,Dendroica,dominica,Yellow-throated warbler,365,365,12,,4,2,,,,9.7,6.1,0.1604,9.8,,0.059107641,0.440162574,0.500729786,,,,
Aves,Passeriformes,Parulidae,Dendroica,fusca,Blackburnian warbler,,,11,,4,1,,,,9,8.2,,,,0.052314925,0.511042308,0.436642767,,,,
Aves,Passeriformes,Parulidae,Dendroica,kirtlandii,Kirtland's warbler,365,365,14,,5,1,,1.3,,15.5,9,,,,0.074934429,0.499707784,0.425357787,,,,
Aves,Passeriformes,Parulidae,Dendroica,magnolia,Magnolia warbler,365,365,12,,4,1,,,,7.5,8,,,,0.044650883,0.516309903,0.439039213,,,,
Aves,Passeriformes,Parulidae,Dendroica,occidentalis,Hermit warbler,365,365,,,4,,,,,10,9.1,,,,0.055673529,0.528180432,0.416146039,,,,
Aves,Passeriformes,Parulidae,Dendroica,palmarum,Western palm warbler,,,12,,4,1,,,,10.3,6.6,0.1554,9.8,,0.060789116,0.454294861,0.484916023,,,,
Aves,Passeriformes,Parulidae,Dendroica,pensylvanica,Chestnut-sided warbler,365,365,12,,4,1,,,,9,6.9,,,,0.054370652,0.47227888,0.473350468,,,,
Aves,Passeriformes,Parulidae,Dendroica,petechia,Yellow warbler,365,365,12,,3,1,,1.32,,9.8,11,,,,0.05253342,0.571961496,0.375505084,,,,
Aves,Passeriformes,Parulidae,Dendroica,pinus,Pine warbler,365,365,13,,4,1,,,,11.8,10.2,0.1795,12,,0.061539006,0.543990695,0.394470298,,,,
Aves,Passeriformes,Parulidae,Dendroica,striata,Blackpoll warbler,365,365,12,,5,2,,1.5,,15,8.1,,,,0.074757981,0.477991742,0.447250277,,,,
Aves,Passeriformes,Parulidae,Dendroica,townsendi,Townsend's warbler,,,12,,4,1,,,,8.85,10.7,,,,0.048412088,0.57179897,0.379788941,,,,
Aves,Passeriformes,Parulidae,Dendroica,virens,Black-throated green warbler,365,365,12,,4,,,,,9,6,,,,0.056035144,0.440892715,0.503072142,,,,
Aves,Passeriformes,Parulidae,Geothlypis,trichas,Common yellowthroat,365,365,12,,4,1.5,,1.74,,9.5,11.5,0.17622,10.6,,0.050646956,0.583787835,0.365565209,,,,
Aves,Passeriformes,Parulidae,Helmitheros,vermivorum,Worm-eating warbler,365,365,13,,5,1,,,,12.5,8.1,,,,0.066799864,0.488804526,0.44439561,,,,
Aves,Passeriformes,Parulidae,Icteria,virens,Yellow-breasted chat,365,365,11,,5,1,,,,26,8.9,,,,0.097645124,0.466522132,0.435832744,,,,
Aves,Passeriformes,Parulidae,Limnothlypis,swainsonii,Swainson's warbler,365,365,14,,3,1,,,,13.5,9.9,,,,0.067769238,0.529304633,0.402926129,,,,
Aves,Passeriformes,Parulidae,Mniotilta,varia,Black and white warbler,365,365,11,,5,1,,,,10.9,12.2,0.12727,8.2,,0.055943682,0.588904488,0.35515183,,,,
Aves,Passeriformes,Parulidae,Myioborus,pictus,Painted redstart,304,304,13,,4,2,,1.36,,9.75,6.6,,,,0.058393817,0.45754938,0.484056802,,,,
Aves,Passeriformes,Parulidae,Oporornis,formosus,Kentucky warbler,,,12,,4,1,,3,,14,6.9,,,,0.073656122,0.446075493,0.480268385,,,,
Aves,Passeriformes,Parulidae,Oporornis,philadelphia,Mourning warbler,,,12,,4,,,,,10,7.9,,,,0.057357668,0.496423794,0.446218539,,,,
Aves,Passeriformes,Parulidae,Oporornis,tolmiei,Macgillivray's warbler,,,,,,,,,,10.4,9,,,,0.057517064,0.523372956,0.41910998,,,,
Aves,Passeriformes,Parulidae,Parula,americana,Northern parula,365,365,13,,4,1,,,,7.9,7,0.122375,7,,0.048509153,0.483241394,0.468249453,,,,
Aves,Passeriformes,Parulidae,Protonotaria,citrea,Prothonotary warbler,365,365,13,,5,,,1.95,,14.3,8.1,0.1994,12.8,,0.072671976,0.480826021,0.446502003,,,,
Aves,Passeriformes,Parulidae,Seiurus,aurocapilla,Ovenbird,365,365,12,,4,1,,2.1,,18.8,11,0.24475,19,,0.0809695,0.533325071,0.385705429,,,,
Aves,Passeriformes,Parulidae,Seiurus,motacilla,Louisiana waterthrush,365,365,13,,5,1,,2.2,,22.5,11.9,,,,0.087874777,0.540331014,0.371794209,,,,
Aves,Passeriformes,Parulidae,Seiurus,noveboracensis,Northern waterthrush,365,365,12,,4,1,,1.9,,16.3,8.9,0.28391,18.7,,0.077264127,0.494214024,0.428521849,,,,
Aves,Passeriformes,Parulidae,Setophaga,ruticilla,American redstart,365,365,12,,4,1,,,,8.5,10.1,,,,0.047338079,0.561232564,0.391429357,,,,
Aves,Passeriformes,Parulidae,Vermivora,celata,Orange-crowned warbler,365,365,12,,4,1,,1.5,,9.2,8.6,0.151745,9.3,,0.052707053,0.520434596,0.426858352,,,,
Aves,Passeriformes,Parulidae,Vermivora,chrysoptera,Golden-winged warbler,319,319,10,,5,1,,,,8.8,7.9,,,,0.051777894,0.504005095,0.444217011,,,,
Aves,Passeriformes,Parulidae,Vermivora,luciae,Lucy's warbler,,,11,,4.5,2,,,,6.6,5.8,,,,0.042901002,0.451673572,0.505425426,,,,
Aves,Passeriformes,Parulidae,Vermivora,peregrina,Tennessee warbler,365,365,11,,6,1,,1.34,,8.5,6.4,,,,0.052771627,0.458775894,0.488452479,,,,
Aves,Passeriformes,Parulidae,Vermivora,pinus,Blue-winged warbler,365,365,11,,5,1,,1.5,,8.9,9,0.1505,7.8,,0.050718565,0.532610153,0.416671282,,,,
Aves,Passeriformes,Parulidae,Vermivora,ruficapilla,Nashville warbler,365,365,11,,4,1,,1.25,,7.5,10.2,,,,0.041757522,0.570868023,0.387374455,,,,
Aves,Passeriformes,Parulidae,Vermivora,virginiae,Virginia's warbler,,,,,,,,,,8.2,6.2,,,,0.051581349,0.453777117,0.494641535,,,,
Aves,Passeriformes,Parulidae,Wilsonia,canadensis,Canada warbler,365,365,12,,4,1,,,,10,8,,,,0.057207861,0.499248595,0.443543544,,,,
Aves,Passeriformes,Parulidae,Wilsonia,citrina,Hooded warbler,319,319,12,,4,,,1.9,,10.6,8.2,0.21538,12,,0.059457153,0.501338081,0.439204766,,,,
Aves,Passeriformes,Parulidae,Wilsonia,pusilla,Wilson's warbler,365,365,10,,5,1,,,,7,8.9,,,,0.040369761,0.544342818,0.415287421,,,,
Aves,Passeriformes,Passeridae,Passer,domesticus,House sparrow,152,365,11,,5,4,,2.02,,25.3,23,,,,0.085146487,0.681355938,0.233497575,,,,
Aves,Passeriformes,Passeridae,Passer,hispaniolensis,Spanish sparrow,365,365,,,,,,,,24.2,11.2,,,,0.091776047,0.522396919,0.385827034,,,,
Aves,Passeriformes,Passeridae,Passer,montanus,Eurasian tree sparrow,319,319,13,,5,2.5,,2,,20.5,13.1,0.2007,17.5,,0.082667303,0.567427026,0.349905671,,,,
Aves,Passeriformes,Passeridae,Petronia,petronia,Rock sparrow,,,,,,,,,,30.2,7,,,,0.107041286,0.40371312,0.489245594,,,,
Aves,Passeriformes,Phylloscopidae,Phylloscopus,collybita,Common chiffchaff and Eurasian chiffchaff,365,365,,,,,,,,8.3,8,0.165,8.2,,0.049074798,0.51029908,0.440626122,,,,
Aves,Passeriformes,Phylloscopidae,Phylloscopus,sibillatrix,Wood warbler,365,365,,,,,,,,9.2,10.2,,,,0.050674992,0.558751755,0.390573253,,,,
Aves,Passeriformes,Phylloscopidae,Phylloscopus,trochilus,Willow warbler,365,365,,,,,,,,8.7,11.8,0.208,10.7,,0.046500526,0.594788128,0.358711347,,,,
Aves,Passeriformes,Ploceidae,Bubalornis,albirostris,African ox birds,,,,,,,,,,61.9,20,,,,0.12586425,0.596907649,0.277228101,,,,
Aves,Passeriformes,Ploceidae,Ploceus,cucullatus,Village weaver,,,,,,,,,,36.2,24,,,,0.100277014,0.669666799,0.230056188,,,,
Aves,Passeriformes,Ploceidae,Quelea,quelea,Red-billed quelea,730,730,,,,,,,,17.5,10,,,,0.078976897,0.516171021,0.404852082,,,,
Aves,Passeriformes,Polioptilidae,Polioptila,caerulea,Blue-gray gnatcatcher,319,319,13,,4,2,,0.64,,6.5,4.2,,,,0.046078657,0.380094209,0.573827134,,,,
Aves,Passeriformes,Polioptilidae,Polioptila,californica,California gnatcatcher,365,365,14,,4,2,,,,6,8,,,,0.034910935,0.529543682,0.435545383,,,,
Aves,Passeriformes,Prunellidae,Prunella,modularis,Hedge sparrow,365,365,,,,,,,,20.2,20.8,0.325,16.8,,0.076517584,0.67212862,0.251353796,,,,
Aves,Passeriformes,Pycnonotidae,Pycnonotus,jocosus,Red-whiskered bulbul,,,12,,2.5,1.5,,2,,27.7,11.1,,,,0.097778929,0.512371778,0.389849292,,,,
Aves,Passeriformes,Pycnonotidae,Pycnonotus,xanthopygos,White-spectacled bulbul,,,,,,,,,,38.1,8.8,,,,0.114458677,0.441322683,0.44421864,,,,
Aves,Passeriformes,Regulidae,Regulus,calendula,Ruby-crowned kinglet,365,365,12,,8,1,,,,6.75,5.6,,,,0.044299835,0.44246038,0.513239785,,,,
Aves,Passeriformes,Regulidae,Regulus,regulus,Goldcrest,365,365,,,,,,,,5.6,7,0.184,5.5,,0.033489768,0.503648403,0.462861829,,,,
Aves,Passeriformes,Regulidae,Regulus,satrapa,Golden-crowned kinglet,365,365,14,,8,2,,0.88,,5.5,6.3,,,,0.03395807,0.481056332,0.484985598,,,,
Aves,Passeriformes,Remizidae,Auriparus,flaviceps,Verdin,365,365,14,,4,1.5,,0.85,,6.8,5.6,,,,0.044621968,0.442022695,0.513355338,,,,
Aves,Passeriformes,Remizidae,Remiz,pendulinus,Eurasian penduline-tit,365,365,,,,,,,,9.3,7,,,,0.055630526,0.473565503,0.47080397,,,,
Aves,Passeriformes,Sittidae,Sitta,canadensis,Red-breasted nuthatch,365,365,12,,5,1,,,,11.2,7.5,,,,0.062923142,0.478034175,0.459042683,,,,
Aves,Passeriformes,Sittidae,Sitta,carolinensis,White-breasted nuthatch,365,365,12,,8,1,,,,20.5,9.8,,,,0.086123788,0.502250472,0.411625739,,,,
Aves,Passeriformes,Sittidae,Sitta,europaea,Wood nuthatch or Eurasian nuthatch,365,365,,,,,,,,20.4,12.9,,,,0.082637087,0.56426206,0.353100852,,,,
Aves,Passeriformes,Sittidae,Sitta,pusilla,Brown-headed nuthatch,365,365,14,,5,1,,1.2,,10.8,5.8,,,,0.064397011,0.422466701,0.513136288,,,,
Aves,Passeriformes,Sittidae,Sitta,pygmaea,Pygmy nuthatch,365,365,15,,7,1,,1.2,,10.7,8.2,,,,0.059867004,0.500781212,0.439351784,,,,
Aves,Passeriformes,Sturnidae,Acridotheres,cristatellus,Crested myna,,,15,,4,,,5.9,,116.5,13,1.2092,109.4,,0.158596889,0.462663791,0.378739321,,,,
Aves,Passeriformes,Sturnidae,Lamprotornis,caudatus,Long-tailed glossy starling,,,,,,,,,,121,17.8,,,,0.156508605,0.530986659,0.312504736,,,,
Aves,Passeriformes,Sturnidae,Lamprotornis,hildebrandti,Hildebrandt's starling,,,,,,,,,,55.8,16.9,,,,0.123341626,0.565238874,0.3114195,,,,
Aves,Passeriformes,Sturnidae,Leucopsar,rothschildi,Bali mynah,,,13,,3,,,,,95,25,,,,0.141903984,0.621614542,0.236481473,,,,
Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,European starling,365,365,12,,5,2,,6.4,,74,22.9,0.877,75,,0.132044923,0.616726493,0.251228584,,,,
Aves,Passeriformes,Sylviidae,Chamaea,fasciata,Wrentit,365,365,15,,3.5,,,,,14.7,12.6,,,,0.068614161,0.578411715,0.352974124,,,,
Aves,Passeriformes,Sylviidae,Sylvia,atricapilla,Blackcap,365,365,,,,,,,,16.7,13.8,,,,0.073098629,0.591275972,0.335625399,,,,
Aves,Passeriformes,Sylviidae,Sylvia,borin,Garden warbler,365,365,,,,,,,,24.6,24,0.416,24.8,,0.083414928,0.692577505,0.224007566,,,,
Aves,Passeriformes,Sylviidae,Sylvia,communis,Whitethroat,365,365,,,,,,,,17.7,8.9,,,,0.080860768,0.489327227,0.429812005,,,,
Aves,Passeriformes,Sylviidae,Sylvia,curruca,Lesser whitethroat,365,365,,,,,,,,11.4,9,0.199,10.6,,0.061524353,0.517928206,0.420547441,,,,
Aves,Passeriformes,Sylviidae,Sylvia,melanocephala,Sardinian warbler,365,365,,,,,,,,11.7,8.3,,,,0.063622451,0.498204579,0.438172969,,,,
Aves,Passeriformes,Sylviidae,Sylvia,nisoria,Barred warbler,365,365,,,,,,,,22.5,11.9,,,,0.087874777,0.540331014,0.371794209,,,,
Aves,Passeriformes,Thraupidae,Cyanerpes,caeruleus,Purple sugar bird,,,,,,,,,,12,17,,,,0.056188951,0.657709403,0.286101646,,,,
Aves,Passeriformes,Thraupidae,Nesospingus,speculiferus,Puerto Rican tanager,,,,,,,,,,35.2,4,,,,0.120393194,0.268954957,0.610651848,,,,
Aves,Passeriformes,Thraupidae,Piranga,ludoviciana,Western tanager,365,365,13,,4,1,,,,30,15.3,,,,0.097438732,0.579707073,0.322854195,,,,
Aves,Passeriformes,Thraupidae,Piranga,olivacea,Scarlet tanager,365,365,13,,4,1,,2.97,,29,11.9,,,,0.098951993,0.525280275,0.375767732,,,,
Aves,Passeriformes,Thraupidae,Piranga,rubra,Summer tanager,365,365,12,,4,1.5,,4.2,,40,7.9,,,,0.117867755,0.414208051,0.467924194,,,,
Aves,Passeriformes,Thraupidae,Thraupis,episcopus,Blue-grey tanager,,,13,,2,,,,,35,9.5,,,,0.109842816,0.463544279,0.426612905,,,,
Aves,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,Cactus wren,243,,16,,4,3,,3.35,,38.9,7.3,,,,0.11759131,0.398123485,0.484285205,,,,
Aves,Passeriformes,Troglodytidae,Thryomanes,bewickii,Bewick's wren,365,365,14,,6,2,,1.4,,9.8,8,,,,0.056326037,0.500446739,0.443227224,,,,
Aves,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,Carolina wren,365,365,14,,4,1,,2.42,,17.5,9.2,,,,0.079969928,0.497446118,0.422583955,,,,
Aves,Passeriformes,Troglodytidae,Troglodytes,aedon,House wren,365,365,13,,7,2,,1.07,,9.7,9,,,,0.054475619,0.527505402,0.418018979,,,,
Aves,Passeriformes,Troglodytidae,Troglodytes,troglodytes,Winter wren,365,365,15,,5,1,,1,,9.1,7,0.213,9,,0.054681602,0.474854818,0.470463581,,,,
Aves,Passeriformes,Turdidae,Catharus,bicknelli,Bicknell's thrush,365,365,12,,4,1,,1.7,,27.5,11.9,,,,0.096633813,0.528430013,0.374936174,,,,
Aves,Passeriformes,Turdidae,Catharus,fuscescens,Veery,365,365,11,,4,,,,,28.8,10.1,,,,0.100603113,0.488860757,0.41053613,,,,
Aves,Passeriformes,Turdidae,Catharus,guttatus,Hermit thrush,365,365,12,,4,,,4.12,,27.8,10.8,,,,0.09826253,0.506005109,0.395732361,,,,
Aves,Passeriformes,Turdidae,Catharus,minimus,Gray-cheeked thrush,365,365,13,,4,1,,,,24.8,7.3,,,,0.097942776,0.424820172,0.477237053,,,,
Aves,Passeriformes,Turdidae,Catharus,ustulatus,Swainson's thrush,365,365,12,,4,1,,3.9,,27.9,11,,,,0.09820073,0.509912803,0.391886467,,,,
Aves,Passeriformes,Turdidae,Hylocichla,mustelina,Wood thrush,365,365,13,,3,2,,4.2,,43.3,10.2,,,,0.118284766,0.466889587,0.414825647,,,,
Aves,Passeriformes,Turdidae,Ixoreus,naevius,Varied thrush,365,365,14,,3,2,,,,78.5,5.6,,,,0.151394618,0.296949481,0.551655901,,,,
Aves,Passeriformes,Turdidae,Sialia,currucoides,Mountain bluebird,,,13,,5,2,,,,29.6,9,,,,0.103172338,0.461340617,0.435487046,,,,
Aves,Passeriformes,Turdidae,Sialia,mexicana,Western bluebird,365,365,14,,5,1.5,,2.9,,26.5,8.7,0.423,27.5,,0.098747237,0.460288402,0.440964361,,,,
Aves,Passeriformes,Turdidae,Sialia,sialis,Eastern bluebird,306,321,14,,4,2,,2.4,,30.5,10.5,,,,0.102643867,0.494181686,0.403174447,,,,
Aves,Passeriformes,Turdidae,Turdus,grayi,Clay-colored robin,,,12,,3,,,,,74,9.6,,,,0.14239871,0.421492302,0.436108989,,,,
Aves,Passeriformes,Turdidae,Turdus,iliacus,Redwing,365,365,,,,,,,,61.2,18.8,0.722,58,,0.126104736,0.583686855,0.290208409,,,,
Aves,Passeriformes,Turdidae,Turdus,merula,Common blackbird and Eurasian blackbird,365,365,,,,,,,,103.2,21.8,,,,0.147148946,0.585946221,0.266904833,,,,
Aves,Passeriformes,Turdidae,Turdus,migratorius,American robin,365,365,13,,3,2,,5.5,,75.5,17,,,,0.136468962,0.54863204,0.314898998,,,,
Aves,Passeriformes,Turdidae,Turdus,philomelos,Song thrush,365,365,,,,,,,,67.8,17.7,0.726,62.8,,0.131293077,0.564073267,0.304633655,,,,
Aves,Passeriformes,Turdidae,Turdus,pilaris,Fieldfare,365,365,,,,,,,,106,18.1,,,,0.150532574,0.542589236,0.30687819,,,,
Aves,Passeriformes,Turdidae,Turdus,plumbeus,Red-legged thrush,,,,,,,,,,75.3,14.6,,,,0.138165707,0.514611825,0.347222468,,,,
Aves,Passeriformes,Turdidae,Turdus,torquatus,Ring ouzel,365,365,,,,,,,,109,9.1,,,,0.159940161,0.386512174,0.453547664,,,,
Aves,Passeriformes,Turdidae,Turdus,viscivorus,Mistle thrush,365,365,,,,,,,,117.5,21.2,,,,0.153145607,0.571982655,0.274871738,,,,
Aves,Passeriformes,Tyrannidae,Camptostoma,imberbe,Northern beardless tyrannulet,,,,,2,2,,,,7.4,5.8,,,,0.047894877,0.444888338,0.507216785,,,,
Aves,Passeriformes,Tyrannidae,Contopus,cooperi,Olive-sided flycatcher,365,365,15,,3,1,,,,32.8,11.1,,,,0.105155407,0.502349275,0.392495319,,,,
Aves,Passeriformes,Tyrannidae,Contopus,sordidulus,Western wood pewee,,,14,,3,1,,,,12.8,8.1,,,,0.067835062,0.487397991,0.444766947,,,,
Aves,Passeriformes,Tyrannidae,Contopus,virens,Eastern wood pewee,365,365,13,,3,,,,,13.9,8.2,0.2576,13.9,,0.071287499,0.485264056,0.443448445,,,,
Aves,Passeriformes,Tyrannidae,Elaenia,martinica,Caribbean elaenia,,,,,,,,,,20.9,13.6,,,,0.083064684,0.574692776,0.342242539,,,,
Aves,Passeriformes,Tyrannidae,Empidonax,alnorum,Alder flycatcher,365,365,13,,3.5,1,,,,13.5,9.1,,,,0.068772735,0.510382393,0.420844873,,,,
Aves,Passeriformes,Tyrannidae,Empidonax,difficilis,Western flycatcher,365,365,14,,3.5,1.5,,1.5,,11,6.9,,,,0.063129687,0.460377879,0.476492434,,,,
Aves,Passeriformes,Tyrannidae,Empidonax,hammondii,Hammond's flycatcher,,,,,,,,,,10.4,7,,,,0.060510087,0.466935589,0.472554324,,,,
Aves,Passeriformes,Tyrannidae,Empidonax,minimus,Least flycatcher,365,365,14,,4,1.5,,,,10,8,,,,0.057207861,0.499248595,0.443543544,,,,
Aves,Passeriformes,Tyrannidae,Empidonax,oberholseri,Dusky flycatcher,365,365,15,,4,1,,1.19,,10.95,9,,,,0.059766446,0.520316695,0.419916859,,,,
Aves,Passeriformes,Tyrannidae,Empidonax,traillii,Willow (Traill's) flycatcher,365,365,13,,3.5,1,,,,12.6,11,,,,0.063502994,0.557057012,0.379439995,,,,
Aves,Passeriformes,Tyrannidae,Empidonax,virescens,Acadian flycatcher,365,365,13,,3,1,,1.9,,12.6,12.1,0.1795,12.3,,0.062367899,0.5784607,0.359171401,,,,
Aves,Passeriformes,Tyrannidae,Myiarchus,antillarum,Puerto rican flycatcher,,,,,,,,,,23.4,13.6,,,,0.087996426,0.567991964,0.344011611,,,,
Aves,Passeriformes,Tyrannidae,Myiarchus,cinerascens,Ash-throated flycatcher,,,15,,4,1.5,,3.7,,28.5,11.9,,,,0.098192864,0.526311712,0.375495423,,,,
Aves,Passeriformes,Tyrannidae,Myiarchus,crinitus,Great-crested flycatcher,365,365,14,,5,1,,3,,32.1,14.9,0.384,33.9,,0.100707452,0.569745312,0.329547236,,,,
Aves,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,Brown-crested flycatcher,,,,,,1,,,,35,11,,,,0.108096846,0.496466838,0.395436316,,,,
Aves,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,Vermilion flycatcher,365,365,14,,3,1.5,,1.3,,12.87,5.5,,,,0.072683464,0.400140394,0.527176141,,,,
Aves,Passeriformes,Tyrannidae,Sayornis,nigricans,Black phoebe,,,16,,4,1.5,,1.5,,18.25,8,,,,0.083466106,0.463571219,0.452962675,,,,
Aves,Passeriformes,Tyrannidae,Sayornis,phoebe,Eastern phoebe,,,16,,5,2,,1.65,,19.7,10.3,0.3449,21.6,,0.08379366,0.515786107,0.400420233,,,,
Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Eastern kingbird,365,365,12,,3,1,,3.2,,39.9,11.1,0.4372,35.7,,0.113708294,0.49072837,0.395563336,,,,
Aves,Passeriformes,Tyrannidae,Tyrannus,verticalis,Western kingbird,365,365,13,,4,1,,3.4,,40.7,6.9,,,,0.120236847,0.382785733,0.49697742,,,,
Aves,Passeriformes,Vireonidae,Vireo,atricapilla,Black-capped vireo,,,15,,4,,,1,,8.65,12,,,,0.046048783,0.598904304,0.355046913,,,,
Aves,Passeriformes,Vireonidae,Vireo,bellii,Bell's vireo,365,365,14,,4,2,,1.8,,10,9.1,,,,0.055673529,0.528180432,0.416146039,,,,
Aves,Passeriformes,Vireonidae,Vireo,flavifrons,Yellow-throated vireo,365,365,15,,4,1,,,,18,6.1,,,,0.086093332,0.403496808,0.51040986,,,,
Aves,Passeriformes,Vireonidae,Vireo,gilvus,Warbling vireo,304,304,13,,3.5,2,,,,15,13.1,,,,0.069032523,0.585952757,0.34501472,,,,
Aves,Passeriformes,Vireonidae,Vireo,griseus,White-eyed vireo,365,365,13,,4,1,,1.73,,12,10.9,,,,0.061482124,0.557899697,0.380618179,,,,
Aves,Passeriformes,Vireonidae,Vireo,huttoni,Hutton's vireo,,,14,,4,,,,,11.3,13.5,,,,0.056310903,0.609505523,0.334183574,,,,
Aves,Passeriformes,Vireonidae,Vireo,latimeri,Puerto rican vireo,,,,,,,,,,12,16.8,,,,0.056329894,0.655051753,0.288618353,,,,
Aves,Passeriformes,Vireonidae,Vireo,olivaceus,Red-eyed vireo,365,365,12,,3.5,1,,1.65,,17,10.2,,,,0.077475786,0.522337211,0.400187003,,,,
Aves,Passeriformes,Vireonidae,Vireo,philadelphicus,Philadelphia vireo,,,14,,4,1,,,,12,9.8,,,,0.062749059,0.534009982,0.403240958,,,,
Aves,Passeriformes,Vireonidae,Vireo,solitarius,Solitary vireo,365,365,12,,4,1,,,,16,7.4,,,,0.078651437,0.453866776,0.467481786,,,,
Aves,Passeriformes,Zosteropidae,Zosterops,japonicus,Japanese white-eye,365,365,11,,3.5,2,,1.1,,11.25,5.1,,,,0.067710607,0.391162263,0.541127129,,,,
Aves,Passeriformes,Zosteropidae,Zosterops,lateralis,Silvereye,365,365,,,,,,,,12.7,13,,,,0.061858519,0.594103313,0.344038168,,,,
Aves,Pelecaniformes,Ardeidae,Ardea,alba,Great egret,730,730,23,,3,2,,,,873.5,22.8,,,,0.239841623,0.469349912,0.290808465,,,,
Aves,Pelecaniformes,Ardeidae,Ardea,cinerea,Heron,730,730,,,,,,,,1443,37.5,,,,0.255826152,0.551320941,0.192852907,,,,
Aves,Pelecaniformes,Ardeidae,Ardea,cocoi,Cocoi heron,,,,,,,,,,1937.7,24.4,,,,0.273811024,0.437328663,0.288860314,,,,
Aves,Pelecaniformes,Ardeidae,Ardea,goliath,Goliath heron,,,,,,,,,,4468,22.9,,,,0.311032554,0.373533966,0.31543348,,,,
Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Great blue heron,669,669,28,,4,2,,50,,1870,24.5,,,,0.27221002,0.440356265,0.287433715,,,,
Aves,Pelecaniformes,Ardeidae,Ardea,purpurea,Purple heron,730,730,,,,,,,,1065.5,25.4,,,,0.247228173,0.481817173,0.270954654,,,,
Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,American bittern,365,365,34,,4,,,,,706,8.3,2.7412,600,,0.242583689,0.255047913,0.502368398,,,,
Aves,Pelecaniformes,Ardeidae,Botaurus,stellaris,Bittern,730,730,,,,,,,,1324.5,11.3,,,,0.266371791,0.287024041,0.446604168,,,,
Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,Cattle egret,730,730,22,,3,1,,19.1,,390,23,,,,0.204540901,0.51913339,0.276325708,,,,
Aves,Pelecaniformes,Ardeidae,Butorides,virescens,Green heron,730,730,20,,4,1,,16,,175,11.6,,,,0.177714371,0.412944124,0.409341505,,,,
Aves,Pelecaniformes,Ardeidae,Egretta,caerulea,Little blue heron,365,365,23,,4,1,,,,339.5,13.9,,,,0.204485676,0.414263506,0.381250818,,,,
Aves,Pelecaniformes,Ardeidae,Egretta,garzetta,Little egret,365,365,,,,,,,,312,22.3,,,,0.195169045,0.525426302,0.279404653,,,,
Aves,Pelecaniformes,Ardeidae,Egretta,rufescens,Reddish egret,1461,1461,,,3,1,,,,614,22,,,,0.224880228,0.482234938,0.292884835,,,,
Aves,Pelecaniformes,Ardeidae,Egretta,thula,Snowy egret,365,365,18,,4,1,,20,,314,22.8,,,,0.195183873,0.530026903,0.274789223,,,,
Aves,Pelecaniformes,Ardeidae,Egretta,tricolor,Tricolored heron,669,669,21,,4,1,,,,309.9,17.7,,,,0.197625614,0.473946497,0.32842789,,,,
Aves,Pelecaniformes,Ardeidae,Ixobrychus,minutus,Little bittern,730,730,,,,,,,,101,6.9,,,,0.159908911,0.328882848,0.511208241,,,,
Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,Black-crowned night heron,365,365,25,,4,1,,24.2,,800,21.1,,,,0.236927886,0.457161436,0.305910678,,,,
Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,rex,Shoebill,,,,,,,,,,5984,35.7,,,,0.318496508,0.455919399,0.225584093,,,,
